review_id,restaurant_id,restaurant_name,review_text,review_text_cleaned,rating,review_date,review_source,word_count,sentiment_score,sentiment_subjectivity,sentiment_category,area,cuisine_primary,price_category
rev_00001,src3_113,Laduree,[liked it] i went to this restaurant ladore in Beirut. it had a very good food and nice service. it was french-Italian restaurant. i recommend it if you are staying more than 4 days as the Lebanese restaurant has the priority for me,liked it: i went to this restaurant ladore in Beirut. it had a very good food and nice service. it was french-Italian restaurant. i recommend it if you are staying more than 4 days as the Lebanese restaurant has the priority for me,5.0,,TripAdvisor,43,0.6525,0.77,Positive,0 ABC Ashrafieh,Unknown,Unknown
rev_00002,src3_066,Dunya Beirut,"[Racist to Khaleejis - never coming back]  i booked for adam’s night on june 29 /2018 
And i booked it 2 weeks in advance .. when we came, the restaurant was full of empty tables and we were the second group to arrive.. UNFORTUNATELY they gave us the LAST and worst table ! He looked at us and had to think a little and decided at the moment !!! When we asked why? He told us our reservation was late ??? When i checked the list my name was on top of it !! 

Never going back - not worth the money ! ","Racist to Khaleejis - never coming back: i booked for adam’s night on june 29 /2018 And i booked it 2 weeks in advance .. when we came, the restaurant was full of empty tables and we were the second group to arrive.. UNFORTUNATELY they gave us the LAST and worst table ! He looked at us and had to think a little and decided at the moment !!! When we asked why? He told us our reservation was late ??? When i checked the list my name was on top of it !! Never going back - not worth the money !",1.0,,TripAdvisor,103,-0.11020507812500001,0.40138888888888885,Negative,Damascus,Unknown,Unknown
rev_00003,src3_066,Dunya Beirut,"[Excellent experience] Very cozy place
Great band specially a lady sings old Egyptian songs
Good amount and quality food (appetizers)+main dish
Excellent service with very friendly staff",Excellent experience: Very cozy place Great band specially a lady sings old Egyptian songs Good amount and quality food (appetizers)+main dish Excellent service with very friendly staff,5.0,,TripAdvisor,27,0.5230803571428572,0.7183035714285715,Positive,Damascus,Unknown,Unknown
rev_00004,src3_066,Dunya Beirut,"[Dinner and show] If you are a turist in Beirut its a nice place. A lot of food, not the best but good. It is not a la cart though. The show is very nice. Takes an hour or so. 115.000 lyras/person. Kind of pricy but worthed for the whole pacage. ","Dinner and show: If you are a turist in Beirut its a nice place. A lot of food, not the best but good. It is not a la cart though. The show is very nice. Takes an hour or so. 115.000 lyras/person. Kind of pricy but worthed for the whole pacage.",4.0,,TripAdvisor,51,0.6466666666666667,0.7000000000000001,Positive,Damascus,Unknown,Unknown
rev_00005,src3_066,Dunya Beirut,"[Very Very Nice Atmosphere, show and food] Probably one of the BEST places to go for an evening in Beirut.  
Amazing dtsff ...especially Ali and Hassan.
Great artists and dancers.
Superb and generous food portions.","Very Very Nice Atmosphere, show and food: Probably one of the BEST places to go for an evening in Beirut. Amazing dtsff ...especially Ali and Hassan. Great artists and dancers. Superb and generous food portions.",5.0,,TripAdvisor,35,0.836,0.79,Positive,Damascus,Unknown,Unknown
rev_00006,src3_066,Dunya Beirut,"[Disappointing food for the value] 1- First of all the good stuff... I must say i loved the atmosphere!! There were 2 belly dancers, and 2 singers who performed 👍🏻

2- However the food was very disappointing for the value we paid $75 per person. The food was basically only appetizers!! And we got some fruit, chocolate bar, meghli, and chocolate rolls and rice pudding at the end!! 

3-All lebanese mezzes usually come with a main course either bbq (meat/fish) i was very disappointed will not come back again!! I felt we were ripped off!!! 

3- Seems they are focusing more on the performances going on than the food itself! 

4- The restaurant is kind of small and not sure if they have a ventilation system because the restaurant was filled with white smoke from hooka and cigs. 

I wouldn’t recommend this place to anyone. All restaurants in lebanon have performances with better fixed menus! Which includes a main course!! ","Disappointing food for the value: 1- First of all the good stuff... I must say i loved the atmosphere!! There were 2 belly dancers, and 2 singers who performed 👍🏻 2- However the food was very disappointing for the value we paid $75 per person. The food was basically only appetizers!! And we got some fruit, chocolate bar, meghli, and chocolate rolls and rice pudding at the end!! 3-All lebanese mezzes usually come with a main course either bbq (meat/fish) i was very disappointed will not come back again!! I felt we were ripped off!!! 3- Seems they are focusing more on the performances going on than the food itself! 4- The restaurant is kind of small and not sure if they have a ventilation system because the restaurant was filled with white smoke from hooka and cigs. I wouldn’t recommend this place to anyone. All restaurants in lebanon have performances with better fixed menus! Which includes a main course!!",2.0,,TripAdvisor,160,0.080109649122807,0.553888888888889,Neutral,Damascus,Unknown,Unknown
rev_00007,src3_082,Gia La Cucina D'amore,"[Fav place] A seven stars restaurant in the middle of achrafiyeh 😍 my fav place so far .italian food to die for, kind staff and good music ❤️❤️❤️","Fav place: A seven stars restaurant in the middle of achrafiyeh 😍 my fav place so far .italian food to die for, kind staff and good music ❤️❤️❤️",5.0,,TripAdvisor,28,0.35,0.625,Positive,Monot,Unknown,Unknown
rev_00008,src3_082,Gia La Cucina D'amore,[Great experience.] amazing restaurant with great vibes  and great food. Food was amazing and will definitely try it again. ,Great experience.: amazing restaurant with great vibes and great food. Food was amazing and will definitely try it again.,5.0,,TripAdvisor,19,0.6,0.7583333333333333,Positive,Monot,Unknown,Unknown
rev_00009,src3_082,Gia La Cucina D'amore,"[The best italian restaurant in lebanon, amazing team , positive vibes, beautiful place , the food is to die for, love] I'm in love with everything in this restaurant,  from food to service, most authentic real Italian restaurant in lebanon","The best italian restaurant in lebanon, amazing team , positive vibes, beautiful place , the food is to die for, love: I'm in love with everything in this restaurant, from food to service, most authentic real Italian restaurant in lebanon",5.0,,TripAdvisor,40,0.46772727272727277,0.5195454545454545,Positive,Monot,Unknown,Unknown
rev_00010,src3_082,Gia La Cucina D'amore,"[Great food] Nice spot and most importantly great food. The Pizza is AMAZING, staff is very friendly as well . Highly recommended .","Great food: Nice spot and most importantly great food. The Pizza is AMAZING, staff is very friendly as well . Highly recommended .",5.0,,TripAdvisor,23,0.5639285714285716,0.7271428571428571,Positive,Monot,Unknown,Unknown
